score	verdict	file	quote	nearest_vtt_line
0.7855	unverified	05_arrival_in_neverwinter.md	I just want to point out that during the whole trip, Brewbarry just goes on and on about his bathrobes, and how good they're gonna look, and… What's the softest thread that you can use?	Right. I just want to point out that during the whole trip, you know, the whole trip, Brewbarry just goes on and on about his bathrobes, and how good they're gonna look, and…
0.7917	unverified	06_the_exotic_armorer_of_neverwinter.md	Dragon scale — yeah.	Dragon scale, or what, yeah.
0.7922	unverified	04_cheese_business_plans_and_departure_preparations.md	Yes, it needs to be blessed by the Lathander's priests, of course.	Yes, it needs to be blessed by the, you know, the Lavender priests, of course, you know.
0.7931	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	We had to kill a dragon, we had to stop an orc campaign, [inaudible — probable "I'll fill you in the whole way"].	We had to kill a dragon, we had to stop an orcan game, I'll see the whole way.
0.7954	unverified	03_the_universal_basic_treasure_proclamation.md	Right. Alphonse "Big Al" Kalazorn is there, Qelline Alderleaf is there, Linene Graywind is there, Ser Kaelen is there, I mean, they're all there. Alright. Even Spider-Man, Elsa, his bar team, Barthen, the people working, you know, the woodworker, they're all there, right?	Right. Alphonse "Big Al" Kalazorn Kazun is there, Kayleen Elderleaf is there, Linane Greenwood is there, Ser Kaelen is there, I mean, they're all there. Alright. Even Spider-Man, Elsa, his bar team, Barthin, the people working, you know, the woodworker, they're all there, right? I mean, there's some folks who are transients who are…
0.7990	unverified	05_arrival_in_neverwinter.md	somebody goes, oh my god, Brewbarry! And he looks at you. And that's Vukradin! Right? Like, that's Vukradin. And the other one goes, oh yeah, I remember when he was really good, the stuff he recorded before he got famous and commercial.	Right? Like, that's Vukradin. And the other one goes, oh yeah, I remember when he was really good, the stuff he recorded before he got famous and commercial.
0.8167	unverified	04_cheese_business_plans_and_departure_preparations.md	Don't underestimate the power of [the good stuff on] the good people.	Don't underestimate the power of Gucci's on, you know, the good people.
0.8214	unverified	04_cheese_business_plans_and_departure_preparations.md	No, I don't wanna manage, man. I'm the ID guy.	No, I don't wanna… I don't wanna manage, man. I'm… I'm the ID guy.
0.8254	unverified	01_return_to_phandalin.md	Fair enough. Give that man an… give that man a Bardic Inspiration, yeah.	Fair enough. Give that man an… give that man a, Brace.
0.8308	unverified	04_cheese_business_plans_and_departure_preparations.md	Seem gentle and a bit dumb.	Seem gentle and, you know, a bit dumb.
0.8343	unverified	01_return_to_phandalin.md	We can give him one more shot, but if he'd like to abdicate, that's fine.	We can give… I mean, we can give him one more shot, but I mean, if he'd like to abdicate, that's fine.
0.8383	unverified	04_cheese_business_plans_and_departure_preparations.md	Let me just be very clear about this. This is a personal quest for me.	Let me, you know, just be very clear about this. This is very, you know, a personal quest for me.
0.8462	unverified	02_a_hero_s_welcome_at_stonehill_inn.md	Yep, yep. Not in Phandalin.	Yep, yep. Not in Phan 1s.
0.8485	unverified	05_arrival_in_neverwinter.md	Discretely, make my muscles.	Discretely, you know, make my muscles.
0.8489	unverified	06_the_exotic_armorer_of_neverwinter.md	Brewbarry works for no one, but Brewbarry has much respect for [Lathander], yes.	works for no one, but Brewbarry has much respect for the thunder, yes.
0.8525	near	02_a_hero_s_welcome_at_stonehill_inn.md	No? From Lathander, of course.	No? From the vendor, of course.
0.8533	near	04_cheese_business_plans_and_departure_preparations.md	Yes, absolutely. It should definitely be your Lathander's logo on it.	Yes, absolutely. It should be, it should definitely be your Lefenders logo on it.
0.8537	near	03_the_universal_basic_treasure_proclamation.md	I can do… Dispel Magic, or Remove Curse.	I can do… Dispel curves, or remove curves.
0.8571	near	04_cheese_business_plans_and_departure_preparations.md	for people who also buy Vukradin's masterpiece.	for people who also buy Vucrajin's, you know, masterpiece.
0.8605	near	03_the_universal_basic_treasure_proclamation.md	Yeah, well, all hail the adventuring group!	Alright, so… So, the Valcrire, and, the, he goes, Yeah, well, all hail the adventuring droop!
0.8611	near	03_the_universal_basic_treasure_proclamation.md	Valphine and Vukradin's death metal…	Belfinay and Vukradin's death metal…
0.8611	near	04_cheese_business_plans_and_departure_preparations.md	Alright, yes. So, Perrin… Alagondar.	Alright, yes. So, perrin… Olegander.
0.8617	near	04_cheese_business_plans_and_departure_preparations.md	Alright, so this is very personal to Brewbarry — he's becoming obsessed with this.	Alright, so this is very personal to Brewbarry, you know, it's becoming… he's becoming obsessed with this.
0.8627	near	01_return_to_phandalin.md	I do cross promotions.	I do, like, cross promotions.
0.8632	near	04_cheese_business_plans_and_departure_preparations.md	Yes, so I'd like you to manage my wealth.	Yes, so I, you know, I'd like you to manage my wealth.
0.8640	near	01_return_to_phandalin.md	The town has been protected by the strength of Lathander.	I mean, the town has been protected by the strength of the pandemic.
0.8717	near	05_arrival_in_neverwinter.md	one of the… one of the… one of the people walking around goes, that's not Vukradin! Vukradin was, like, a legend, man. He would, like, play music, and he didn't care if anybody liked it. He was, like, I… they're, like, dismissing that you're Vukradin at this point in time.	Alright, but then… but then somebody, while this is going on, one of the… one of the… one of the people walking around goes, that's not Vukerton! Vukerton was, like, a legend, man. He would, like, play music, and he didn't care if anybody liked it. He was, like, I… they're, like, dismissing that you're Vukradin at this point in time.
0.8871	near	04_cheese_business_plans_and_departure_preparations.md	It left you a note about the fire… the necklace of fireballs.	It left you a note about the fire… the lengthless of fireballs.
0.8889	near	04_cheese_business_plans_and_departure_preparations.md	It literally goes, [so] Linene goes, Brewbarry.	It literally goes, Shalim Lenny goes, Brewbarry.
0.8889	near	04_cheese_business_plans_and_departure_preparations.md	It's an Alagondar, so…	It's an allegondre, so…
0.8901	near	05_arrival_in_neverwinter.md	Now that I think about it, the Spire of the Mourning Lord also sounds way too sexual.	You know, now that I think about it, the Spire of the Mourning Lord also sounds, you know, way too sexual.
0.8926	near	02_a_hero_s_welcome_at_stonehill_inn.md	Alright. He does say that, that, he does point out that he has not had any success at finding Sister Kaella.	Alright. Alright. He does say that, that, he does point out that he has not had any success at finding Sir Kayla, Lady, Sister Kaella.
0.8932	near	04_cheese_business_plans_and_departure_preparations.md	Maybe start a market study on the business of.	Maybe start a market study on, you know, the business of.
0.8936	near	04_cheese_business_plans_and_departure_preparations.md	Is there an accountant or a banker in Phandalin?	Is there an accountant or a banker in Feneden?
0.8952	near	04_cheese_business_plans_and_departure_preparations.md	Somebody who could manage my personal fortunes.	Somebody who could manage my, you know, personal fortunes.
0.8973	near	03_the_universal_basic_treasure_proclamation.md	You have to live within Phandalin's boundary for at least 50-plus percent of the year.	You have to, you have to live within Fanderlin's boundary for at least 50-plus percent of the year.
0.9000	near	03_the_universal_basic_treasure_proclamation.md	We could put on a rock concert and get them all out there, get them all happy and bouncing around before I make my big speech.	We can put on a, you know, we could put on a rock concert and get them all out there, get them all happy, and bouncing around before I make my big speech.
0.9043	near	04_cheese_business_plans_and_departure_preparations.md	It takes everybody to have a bathrobe and feel soft.	It takes everybody to have a bathrobe and, you know, feel soft.
0.9064	near	04_cheese_business_plans_and_departure_preparations.md	Oh, yes, the cheese. Well, you know, Petunia's there, Alphonse "Big Al" Kalazorn is there, Qelline Alderleaf is there. They're observing that now, with the extra cash in people's hands, there'll be opportunities to sell more cheese.	Oh, yes, the cheese. Well, you know, Petunia's there, Alphonse "Big Al" Kalazorn Cazone is there, Kalina Elderleaf is there. They're observing that now, with the extra cash in people's hands, there'll be opportunities to sell more cheese.
0.9066	near	01_return_to_phandalin.md	If your music studio wants to be a sponsor for my bathrobe business, I'm willing to give you a little logo on the bathrobes, maybe?	You know, if your music studio wants to be a sponsor for my bathrobe business, you know, I'm willing to give you, like, a little logo on the bathrobes, maybe?
0.9082	near	04_cheese_business_plans_and_departure_preparations.md	To advise me on how I can start my bathrobe business. I'm serious about this, I want people…	To advise me on how I can stop my bathrobe business. I'm serious about this, I, you know, I want people…
0.9091	near	03_the_universal_basic_treasure_proclamation.md	And you have to pay your taxes in Phandalin, too, right?	And you have to pay your taxes in Finland, too, right?
0.9091	near	04_cheese_business_plans_and_departure_preparations.md	I know. How is that possible? How's that possible?	I know. You know, how is that possible? How's that possible?
0.9119	near	03_the_universal_basic_treasure_proclamation.md	I could detect a planar anomaly around this cube. This is no ordinary magic. You remember that slag? Those weird gnome things?	Yeah. I could detect a planar anomaly around this cube. This is, this is no ordinary. You remember that stag? Those weird gnome things?
0.9143	near	04_cheese_business_plans_and_departure_preparations.md	Let's keep people happy, isn't that what today's all about? Making people happy?	Oh, let's keep people happy, isn't that, you know, what today's all about? Making people happy?
0.9143	near	04_cheese_business_plans_and_departure_preparations.md	But if you try to screw me on this.	But, you know, if you try to screw me on this.
0.9149	near	03_the_universal_basic_treasure_proclamation.md	But that's not where we could have started.	But that's not where we couldn't have started that.
0.9167	near	04_cheese_business_plans_and_departure_preparations.md	Alright, I'll say this one, then. It's only the finest.	Alright, I'll say this one, then. You know, it's only the finest.
0.9182	near	05_arrival_in_neverwinter.md	the cover is a woodcut portrait of a dwarf in full plate. Blunt-nosed, serious. The caption says, Orsik, defender of Parnast, champion of the North.	Right, okay. He goes, the cover is a woodcut portrait of a dwarf in full plate. Blunt-nosed, serious. The caption says, Orsic, defender of Parnest, champion of the North.
0.9193	near	04_cheese_business_plans_and_departure_preparations.md	Right. I just want to point out that during the whole trip, Brewbarry just goes on and on about his bathrobes, and how good they're gonna look, and…	Right. I just want to point out that during the whole trip, you know, the whole trip, Brewbarry just goes on and on about his bathrobes, and how good they're gonna look, and…
0.9195	near	04_cheese_business_plans_and_departure_preparations.md	Note on, Vukradin's upcoming music studio.	Note on, View Krudin's upcoming music studio.
0.9197	near	04_cheese_business_plans_and_departure_preparations.md	Okay, can I consult with her, and tell her of my business plan?	Okay, can I consult with her, and tell her of my, you know, business plan?
0.9231	near	03_the_universal_basic_treasure_proclamation.md	Ser Kaelen paused, it says, sidebar, sidebar…	Sir Kaitlyn paused, it says, sidebar, sidebar…
0.9231	near	04_cheese_business_plans_and_departure_preparations.md	Well, can we do some cheese tasting? It depends.	Well, can we do some cheese tasting? I mean, it depends.
0.9238	near	04_cheese_business_plans_and_departure_preparations.md	Okay, so, manage my wealth, come up with a business plan, I want to hear about it, I'll give you a month.	Okay, so, anyway, you know, manage my wealth, come up with a business plan, I want to hear about it, I'll give you a month.
0.9249	near	04_cheese_business_plans_and_departure_preparations.md	It's an Alagondar, quiet, branch, no title, no army, just a family that lost their dead's belongings to grave robbers a generation ago and never stopped looking. The recovery office matched the provenance last tenday. You can put it down, you can actually do the thing you keep saying you want to do.	It's an allegondre, quiet, branch, no title, no army, just a family that lost their deads belonging to grave robbers a generation ago and never stopped looking. The recovery office matched the provenance last 10 day. You can put it down, you can actually do the thing you keep saying you want to do.
0.9259	near	03_the_universal_basic_treasure_proclamation.md	I need to get myself a house in Phandalin, by the way.	I need to get myself a house in Pendleton, by the way.
0.9271	near	01_return_to_phandalin.md	Yeah, but blood can be turned into something soft and wonderful, like a Brewbarry bathrobe.	Yeah, but blood can be turned into something soft and wonderful, you know, like a Brewbarry bathroom.
0.9278	near	04_cheese_business_plans_and_departure_preparations.md	But I don't know that we need the good stuff.	But I don't know that we need, like, the good stuff.
0.9282	near	01_return_to_phandalin.md	From now on, every time we find treasure, whether it belongs to us or not, there should be a find us fee. And some of that gold should go in my pocket towards me building that bathrobe business.	I'm… I'm… I think, from now on, every time we find treasure, whether it belongs to us or not, there should be a find us fee. And some of that gold should go in my pocket towards, you know, me building that bathrobe business.
0.9298	near	03_the_universal_basic_treasure_proclamation.md	5% of the blood money now becomes organic fair trade?	Oh, 5% of the blood money now is… becomes organic fair trade?
0.9299	near	04_cheese_business_plans_and_departure_preparations.md	Mankind has been spreading violence and pain throughout the land for generations. I think I need to turn that around and bring softness to people.	Mankind has been spreading violence and pain, you know, throughout the land for generations. I think I need to, you know, turn that around and bring softness to people.
0.9333	near	01_return_to_phandalin.md	Did you hear about the Talosians that we destroyed?	Did you hear about the Talos season that we destroyed?
0.9341	near	04_cheese_business_plans_and_departure_preparations.md	Brewbarry's going in a brand new direction ever since he discovered the bathrobe. Yes.	Mary's going in a brand new direction ever since he discovered the bathroom. Yes.
0.9343	near	04_cheese_business_plans_and_departure_preparations.md	So, I ask again, is there a wealth management consultant in Phandalin?	So, I ask again, is there a wealth management consultant in Fenden?
0.9346	near	04_cheese_business_plans_and_departure_preparations.md	Absolutely on your side, Brewbarry, you can trust her.	Absolutely on your side, Rubberry, you can trust her.
0.9388	near	01_return_to_phandalin.md	You arrive in… Phandalin.	You arrive in… Pandolin.
0.9391	near	04_cheese_business_plans_and_departure_preparations.md	Valphine checks with Insight whether or not she's sincere.	Ralfini checks with Insight whether or not she's sincere.
0.9394	near	01_return_to_phandalin.md	We still must destroy the heathens.	We still must destroy the heat.
0.9398	near	03_the_universal_basic_treasure_proclamation.md	Well, it's been laundered through the UBT.	Well, it's been wandered through the UBD.
0.9402	near	04_cheese_business_plans_and_departure_preparations.md	Not in management, though, right? This is your fantasy?	Not in management, though, right? This is, like, your fantasy?
0.9412	near	04_cheese_business_plans_and_departure_preparations.md	That were phasing in and [out].	That we're phasing in an.
0.9425	near	05_arrival_in_neverwinter.md	If you need an image consultant, my wealth management, I'm sure, could advise you.	If you need an image consultant, you know, my wealth management, I'm sure, could advise you.
0.9451	near	03_the_universal_basic_treasure_proclamation.md	Turn evil into something good for the community.	Evil into something good for the community.
0.9455	near	04_cheese_business_plans_and_departure_preparations.md	Qelline goes, regular cheese. Philistines. Philistines?	Kilinea goes, regular cheese. Philistines. Philistines?
0.9474	near	06_the_exotic_armorer_of_neverwinter.md	You see, an upcoming drow invasion into Neverwinter, and the people just throw open the doors, they're like, come in!	You see, like, an upcoming drow invasion into Neverwinter, and the people just, like, throw open the doors, they're like, come in!
0.9492	near	03_the_universal_basic_treasure_proclamation.md	Brin and Giles are there, and they're, they're, you know, they're engaged, they're, they're looking sunburnt. Again.	The burning guiles are there, and they're, they're, you know, they're engaged, they're, they're looking sunburnt. Again.
0.9492	near	03_the_universal_basic_treasure_proclamation.md	I would say property owners within the bounds of Phandalin.	I would say property owners within the bounds of Fanderlin.
0.9508	near	01_return_to_phandalin.md	I'm fine with Phandalin. We gotta check in there, right? We gotta get some cheese as well. Isn't that part of the deal?	I'm fine with mandolin. We gotta check in there, right? We gotta get some cheese as well. Isn't that, like, part of the deal?
0.9529	near	03_the_universal_basic_treasure_proclamation.md	No, no, you can just determine if they pay taxes in Phandalin, then they are Phandalin citizens.	No, no, you can just determine if they pay taxes in Fanderlin, then they are Fandalin citizens.
0.9529	near	06_the_exotic_armorer_of_neverwinter.md	Brewbarry works for you? Is a convert to the Temple of Lathander? Of the Morning Lord?	Rubbery works for you? Is a convert to the Temple of Lathander? Of the Morning Lord?
0.9535	near	04_cheese_business_plans_and_departure_preparations.md	And rest in your bathrobe, yes, absolutely.	And rest in your bathroom, yes, absolutely.
0.9545	near	03_the_universal_basic_treasure_proclamation.md	In fact, the, the, the roll an Arcana check.	In fact, the, the, the role in Arcana check.
0.9556	near	02_a_hero_s_welcome_at_stonehill_inn.md	She's in Neverwinter. No, I knew that, that we haven't returned that yet. That's next.	Oh, she's in Neverwinter. Oh, no, I knew that, that we haven't returned that yet. That's next.
0.9571	near	01_return_to_phandalin.md	Sorry, the heathen followers of Talos that we destroyed, has [inaudible] heard about that?	Sorry, the heathen followers of Talos that we destroyed, has Fuelin heard about that?
0.9583	near	01_return_to_phandalin.md	I'm just expecting that he won't, Harbin Wester.	I'm just expecting that he won't, Harbin Weston.
0.9583	near	03_the_universal_basic_treasure_proclamation.md	It says… and says, if I could suggest, Vukradin.	It says… and says, if I could suggest, Bukridin.
0.9600	near	02_a_hero_s_welcome_at_stonehill_inn.md	Right. In, Phandalin. In, Neverwinter.	Right. In, Pandolin. In, Neverwinter.
0.9617	near	03_the_universal_basic_treasure_proclamation.md	As long as you live within the bounds of Phandalin, then you're a Phandalin citizen. How is that? Is that open enough?	As long as you live within the bounds of Fanderlin, then you're a Fandalin citizen. How is that? Is that open enough?
0.9622	near	04_cheese_business_plans_and_departure_preparations.md	Okay, so, so, so, Qelline is delighted to hear that you have class. She goes, who would have thought that Brewbarry was a man of taste and vision?	Okay, so, so, so, Kalita is delighted to hear that you have clays. She goes, who would have thought that Brewbarry was a man of taste and vision?
0.9643	near	02_a_hero_s_welcome_at_stonehill_inn.md	Well, yes, that's our next [stop].	Well, yes, that's our next system.
0.9646	near	04_cheese_business_plans_and_departure_preparations.md	She goes, well then, that you are a discerning customer, Mr. Brewbarry, you are an absolutely discerning customer.	She goes, well then, that you are a discerning customer, Mr. Brubber, you are an absolutely discerning customer.
0.9677	near	06_the_exotic_armorer_of_neverwinter.md	Brewbarry will be wearing this.	Brewbarry will be wearing this, because.
0.9689	near	02_a_hero_s_welcome_at_stonehill_inn.md	Vukradin, I think that if you were willing to play a song, it would be for free.	Vucherdin, I think that if you were willing to play a song, it would be for free.
0.9713	near	04_cheese_business_plans_and_departure_preparations.md	Okay, so, and those, and you inform them who they are, [those are Brin and Giles], the… yeah, alright, alright. Well, then we will absolutely keep them a fine round of our finest cheese, and she, and then she goes, Mr. Brewbarry.	Okay, so, and those, and you inform them who they are, those Elaine, the… yeah, alright, alright. Well, then we will absolutely keep them a fine round of our finest cheese, and she, and then she goes, Mr. Brewbarry.
0.9718	near	04_cheese_business_plans_and_departure_preparations.md	Yeah, Linene thinks this is a wonderful idea, right? She thinks this is an awesome idea.	Yeah, Lynette thinks this is a wonderful idea, right? She thinks this is an awesome idea.
0.9722	near	02_a_hero_s_welcome_at_stonehill_inn.md	How much you got? Toblen says, well,	How much you got? Toblin says, well,
0.9724	near	03_the_universal_basic_treasure_proclamation.md	Okay. Alright, so you're on the town green, and, you know, the various, the various, you know, people start to gather, you see members of the, the town council, Harbin himself is starting to show, has shown up, I mean, Petunia is there.	Okay. Alright, so you're on the town green, and, you know, the various, the various, you know, people start to gather, you see members of the, the town square, Harbin himself is starting to show, has shown up, I mean, Petunia is there.
0.9737	near	03_the_universal_basic_treasure_proclamation.md	Well, what if somebody just comes down from Neverwinter for the day, right? And immigrates to Phandalin, then suddenly they are entitled to the UBT?	Well, I mean, what if somebody just comes down from Neverwinter for the day, right? And immigrates to Phandalin, then suddenly they are entitled to the UBT?
0.9747	near	01_return_to_phandalin.md	A political agenda to pursue, the existing privy council was imposed on Harbin Wester as a fig leaf rather than a genuine democratic body, and Vukradin intended to push for direct elections of the mayor, a legal process called a sheetment that Valphine apparently researched.	A political agenda to pursue, the existing privy council was imposed on Harib and Wester as a fig leaf rather than a genuine democratic body, and Vucherdin intended to push for direct elections of the mayor, a legal process called a sheetment that Valphine apparently researched.
0.9750	near	03_the_universal_basic_treasure_proclamation.md	We'll have to have a slight sidebar. I don't know, what name do you guys want?	We'll have to have a slight sidebar. Oh, I don't know, what name do you guys want?
0.9781	near	06_the_exotic_armorer_of_neverwinter.md	Is he one of… the proprietor stops and goes, His li- his… Brewbarry.	Is he one of… the proprietary stops and goes, His li- his… Brewbarry.
0.9794	near	03_the_universal_basic_treasure_proclamation.md	That doesn't mean they're paying tax… okay, so all of a sudden, you know, like, Linene shows up and says, I think this is a fabulous idea. I've been working on such a proposal for years. She pulls out a book called Candlekeep, you know, the Sage's Universal Theorem for Income Distribution.	That doesn't mean they're paying tax… okay, so all of a sudden, you know, like, Lilene shows up and says, I think this is a fabulous idea. I've been working on such a proposal for years. She pulls out a book called Candle Keeps, you know, the Sage's Universal Theorem for Income Distribution.
0.9800	near	04_cheese_business_plans_and_departure_preparations.md	So, I mean, to be fair, the only wealth management person who would know anything would be Linene, who she was, who's the job is at the trading house.	So, I mean, to be fair, the only wealth management person who would know anything would be Lenini, who she was, who's the job is at the trading house.
0.9803	near	01_return_to_phandalin.md	Yeah, you know, you're still heroes, there's still, you know, hi, how are you, as you walk by Barthen's Provisions. Hi, how are you? You know, the discount's still there, maybe?	Yeah, you know, you're still heroes, there's still, you know, hi, how are you, as you block by Barthin's Provisions. Hi, how are you? You know, the discount's still there, maybe?
0.9816	near	04_cheese_business_plans_and_departure_preparations.md	I'm, yeah, because you rolled a… oh, oh, Gary rolled a 19, I didn't see that 19.	I'm, I, yeah, because you rolled a… oh, oh, Gary rolled a 19, I didn't see that 19.
0.9821	near	03_the_universal_basic_treasure_proclamation.md	attest under oath with the Zone of Truth spell in effect.	test under oath with the Zone of Truth spell in effect.
0.9849	near	01_return_to_phandalin.md	So right now, you know, you guys… you haven't been to Phandalin since you defeated Cryovain, right?	So right now, you know, you guys… you haven't been to Phandalin since you defeated Cryonvane, right?
0.9851	near	01_return_to_phandalin.md	I didn't say I wasn't. As the groups turned their boots towards Phandalin, there was much to discuss.	I didn't say I wasn't. As the groups turned their boots towards Vandalin, there was much to discuss.
0.9851	near	03_the_universal_basic_treasure_proclamation.md	Kaelen, can you take care of this?	Kalen, can you take care of this?
0.9858	near	03_the_universal_basic_treasure_proclamation.md	Just in case you thought that was, you know, me not suddenly remembering Vukradin's name, because I think that that is an extraordinary idea, and that is why we have declared him ordinary, we have declared the income that he produces as part of his adventuring career — Vukradin's UBT.	Just in case you thought that was, you know, me not suddenly remembering Vukradin's name, because I think that that is an extraordinary idea, and that is why we have declared him ordinary, we have declared the income that he produces as part of his adventuring careerdin's UBT.
0.9867	near	06_the_exotic_armorer_of_neverwinter.md	So he says, but Valphine, as much as I would like to do this for free, and gratis, unfortunately, it takes time and money. Any little money you can give would be helpful to cover the costs.	So he says, but Malfine, as much as I would like to do this for free, and gratis, unfortunately, it takes time and money. Any little money you can give would be helpful to cover the costs.
0.9875	near	03_the_universal_basic_treasure_proclamation.md	Harbin Wester says, I am so glad! This was a… this was… I'm… he pauses, he goes.	Harbin Wester says, I am so glad! This was a… this was… I'm… he passes, he goes.
0.9881	near	03_the_universal_basic_treasure_proclamation.md	Yeah, yeah, yeah. You know, what, the kids are going, do we get UBT? Do we… Exactly!	Yeah, yeah, yeah. You know, what, the kids are going, do we get UBD? Do we… Exactly!
0.9898	near	01_return_to_phandalin.md	The still untransformed lump of gold from Cryovain's hoard that the party refused to use, and the small matter of a holy orc army now marching through the mountains in Lathander's name, whatever came next, it was clear that the consequences of their choices were only just beginning to unfold.	The still untransformed lump of gold from Cryovain's horde that the party refused to use, and the small matter of a holy orc army now marching through the mountains in Lathander's name, whatever came next, it was clear that the consequences of their choices were only just beginning to unfold.
0.9902	near	03_the_universal_basic_treasure_proclamation.md	Sidebar. Does the Order of the Gauntlet get a share, or is this only strictly for the citizens of Phandalin? And what do we mean by citizens of Phandalin?	Sidebar. Does the Order of the Gauntlet get a share, or is this only strictly for the citizens of Phandalin? And what do we mean by citizens of Fandalin?
0.9904	near	05_arrival_in_neverwinter.md	The back page is a map, the Lord's Alliance's current territorial jurisdiction, with the dotted line extending into Neverwinter Wood, Leilon, and Phandalin.	The back page is a map, the Lord's Alliance's current territorial jurisdiction, with the dotted line extending into Neverwinter Wood, Lilin, and Phandalin.
0.9915	near	03_the_universal_basic_treasure_proclamation.md	Okay, so, so, Wester, we're gonna be writing into the town charter, then, that all adventurers, will distribute their treasure as universal basic treasure to the citizens of Phandalin, unless they can find the rightful owner, of course.	Okay, so, so, Weston, we're gonna be writing into the town charter, then, that all adventurers, will distribute their treasure as universal basic treasure to the citizens of Phandalin, unless they can find the rightful owner, of course.
0.9926	near	03_the_universal_basic_treasure_proclamation.md	What I wanna say is… That your government, led by Wester over here.	What I wanna say is… That your government, led by Western over here.
